idx,criteria_name,park_id,average_score,category_id,category_name,created_at,updated_at
132,이동성,3,4.4,7,보행가로,2023-12-18 00:19:36.875756+00,2023-12-21 05:50:48.112483+00
133,안전성,3,2.0,10,도로시설,2023-12-16 12:51:12.320301+00,2023-12-21 05:41:52.045549+00
134,안전성,3,2.0,11,편의/지원,2023-12-20 00:42:58.352778+00,
135,접근성,3,2.0,11,편의/지원,2023-12-20 00:42:58.293978+00,2023-12-21 04:46:35.718525+00
136,안전성,3,3.0,7,보행가로,2023-12-18 00:19:36.900778+00,2023-12-21 05:50:48.145035+00
137,이동성,3,2.9,10,도로시설,2023-12-16 12:44:43.860454+00,2023-12-21 05:41:52.031713+00
138,정보제공성,3,2.7,7,보행가로,2023-12-18 00:19:36.901826+00,2023-12-21 05:50:48.147978+00
139,정보제공성,3,1.5,10,도로시설,2023-12-16 12:44:43.916275+00,2023-12-21 05:48:42.034955+00
140,포용성,3,1.4,7,보행가로,2023-12-18 14:04:46.737567+00,2023-12-21 05:50:48.146211+00
141,접근성,3,5.0,9,광장,2023-12-21 03:10:37.532072+00,2023-12-21 05:41:06.904706+00
142,이동성,3,2.0,11,편의/지원,2023-12-20 00:42:58.349651+00,2023-12-21 04:46:35.754991+00
143,접근성,3,2.0,8,공공건축물,2023-12-20 00:50:37.14787+00,2023-12-21 05:48:20.410866+00
144,이동성,3,5.0,9,광장,2023-12-21 03:10:37.567024+00,2023-12-21 05:41:06.945736+00
145,안전성,3,5.0,9,광장,2023-12-21 03:10:37.568341+00,2023-12-21 05:41:06.934499+00
146,포용성,3,5.0,9,광장,2023-12-21 03:10:37.571467+00,2023-12-21 05:41:06.942141+00
147,정보제공성,3,1.5,8,공공건축물,2023-12-16 15:08:04.327378+00,2023-12-21 05:48:20.441669+00
148,정보제공성,3,5.0,9,광장,2023-12-21 03:10:37.56711+00,2023-12-21 05:41:06.943121+00
149,포용성,3,2.0,11,편의/지원,2023-12-20 00:42:58.351028+00,2023-12-21 04:46:35.755636+00
150,이동성,3,2.3,8,공공건축물,2023-12-16 15:08:04.277015+00,2023-12-21 05:48:20.441435+00
151,포용성,3,1.2,8,공공건축물,2023-12-16 15:08:04.329597+00,2023-12-21 05:48:20.44546+00
152,접근성,3,5.0,7,보행가로,2023-12-21 05:48:44.534502+00,
